model,split,threshold,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,cost,roc_auc,pr_auc,experiment
XGBoost,test_default_0.5,0.5,0.984,0.875,0.6176470588235294,0.7241379310344828,0.8072707343807088,0.727693819055339,1926,6,26,42,13060,0.9684721714772866,0.7820369223669611,A0_XGBoost_default
XGBoost_Weighted,test_default_0.5,0.5,0.9355,0.329608938547486,0.8676470588235294,0.4777327935222672,0.9027676287906468,0.5114004229498451,1812,120,9,59,5700,0.9680535257581293,0.7071501178281688,A1_XGBoost_weighted_default
XGBoost_Weighted,test_cost_optimized,0.31,0.896,0.23684210526315788,0.9264705882352942,0.3772455089820359,0.9106990622335891,0.43837558594816844,1729,203,5,63,4530,0.9680535257581293,0.7071501178281688,A2_XGBoost_weighted_cost_threshold
XGBoost_AsymmetricLoss,test_cost_optimized,0.2,0.9005,0.245136186770428,0.9264705882352942,0.38769230769230767,0.9130282547801729,0.44735523110226655,1738,194,5,63,4440,0.9680915844598709,0.7245529166928294,A3_XGBoost_asymmetric_loss
OOF_Stacking,test_cost_optimized,0.24000000000000002,0.8865,0.2229965156794425,0.9411764705882353,0.36056338028169016,0.9128760199732067,0.42686253854453443,1709,223,4,64,4230,0.9712580684447691,0.6749493240300738,A4_OOF_stacking_cost_threshold
OOF_Stacking_AnomalyFeature,test_cost_optimized,0.21000000000000002,0.881,0.21666666666666667,0.9558823529411765,0.3532608695652174,0.9171233710875655,0.4234161790382619,1697,235,3,65,3850,0.9682514310071856,0.6965445694876558,A5_OOF_stacking_anomaly_cost_threshold
XGBoost_Weighted_Physics,test_cost_optimized,0.19,0.909,0.26639344262295084,0.9558823529411765,0.4166666666666667,0.931616124710754,0.4780006698204173,1753,179,3,65,3290,0.978131469979296,0.8371740667416439,A6_XGBoost_physics_cost_threshold
OOF_Stacking_Physics,test_cost_optimized,0.3,0.9285,0.31343283582089554,0.9264705882352942,0.4684014869888476,0.9275210084033614,0.5153851056420271,1794,138,5,63,3880,0.9777965534039703,0.8960571254022748,A7_OOF_stacking_physics_cost_threshold
OOF_Stacking_Physics_AnomalyFeature,test_cost_optimized,0.35000000000000003,0.9335,0.328042328042328,0.9117647058823529,0.48249027237354086,0.9230148581171599,0.5241474867937801,1805,127,6,62,4270,0.977035379369139,0.8834063333141526,A8_OOF_stacking_physics_anomaly_cost_threshold
