model,split,threshold,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,cost,roc_auc,pr_auc
LightGBM_Physics,test_f1_optimized,0.36000000000000004,0.992,0.9193548387096774,0.8382352941176471,0.8769230769230769,0.9178236511996103,0.8737924780929186,1927,5,11,57,5550,0.982165692363902,0.8927744504348611
OOF_Stacking_Physics,test_f1_optimized,0.98,0.9915,0.9322033898305084,0.8088235294117647,0.8661417322834646,0.9033765680185117,0.8640918444567807,1928,4,13,55,6540,0.9777965534039703,0.8960571254022748
LightGBM_Weighted_Physics,test_f1_optimized,0.8,0.991,0.890625,0.8382352941176471,0.8636363636363636,0.9173060528559249,0.8594092694476929,1925,7,11,57,5570,0.9759545122396784,0.8737147511423231
OOF_Stacking_Physics_AnomalyFeature,test_f1_optimized,0.98,0.991,0.890625,0.8382352941176471,0.8636363636363636,0.9173060528559249,0.8594092694476929,1925,7,11,57,5570,0.977035379369139,0.8834063333141526
XGBoost_AsymmetricLoss_Physics,test_f1_optimized,0.81,0.991,0.9166666666666666,0.8088235294117647,0.859375,0.9031177688466692,0.8565317469961969,1927,5,13,55,6550,0.9798821702594082,0.8623136864016223
XGBoost_Physics,test_f1_optimized,0.36000000000000004,0.9895,0.873015873015873,0.8088235294117647,0.8396946564885496,0.9023413713311412,0.8349252971171962,1924,8,13,55,6580,0.9795548654244307,0.8811950780087398
XGBoost_Weighted_Physics,test_f1_optimized,0.88,0.9895,0.8983050847457628,0.7794117647058824,0.8346456692913385,0.8881530873218852,0.8314809132397832,1926,6,15,53,7560,0.978131469979296,0.8371740667416439
RandomForest_Balanced_Physics,test_f1_optimized,0.66,0.9885,0.8688524590163934,0.7794117647058824,0.8217054263565892,0.8876354889782,0.8170670969377878,1924,8,15,53,7580,0.9804454390451833,0.8705380531094077
LightGBM,test_f1_optimized,0.42000000000000004,0.9845,0.8245614035087719,0.6911764705882353,0.752,0.8430002435756911,0.747151397948643,1922,10,21,47,10600,0.9688832054560955,0.7999380352693366
XGBoost,test_f1_optimized,0.36000000000000004,0.9835,0.7692307692307693,0.7352941176470589,0.7518796992481203,0.8637650712458897,0.743552855479545,1917,15,18,50,9150,0.9684721714772866,0.7820369223669611
LightGBM_Weighted,test_f1_optimized,0.88,0.9835,0.8070175438596491,0.6764705882352942,0.736,0.835388503227378,0.7305708778219588,1921,11,22,46,11110,0.9647043600048715,0.7412058105108181
XGBoost_AsymmetricLoss,test_f1_optimized,0.78,0.9815,0.746031746031746,0.6911764705882353,0.7175572519083969,0.8414474485446353,0.7085602742836125,1916,16,21,47,10660,0.9680915844598709,0.7245529166928294
XGBoost_Weighted,test_f1_optimized,0.9,0.9815,0.7818181818181819,0.6323529411764706,0.6991869918699187,0.8130708805261235,0.6938882608685888,1920,12,25,43,12620,0.9680535257581293,0.7071501178281688
OOF_Stacking_AnomalyFeature,test_f1_optimized,0.97,0.976,0.6351351351351351,0.6911764705882353,0.6619718309859155,0.8386006576543661,0.6501773096224425,1905,27,21,47,10770,0.9682514310071856,0.6965445694876558
OOF_Stacking,test_f1_optimized,0.9600000000000001,0.9755,0.6301369863013698,0.6764705882352942,0.6524822695035462,0.8312477164778955,0.6402338302411456,1905,27,22,46,11270,0.9712580684447691,0.6749493240300738
DecisionTree_Balanced,test_f1_optimized,0.87,0.9645,0.48717948717948717,0.8382352941176471,0.6162162162162163,0.9035896967482646,0.623318465393652,1872,60,11,57,6100,0.9516159724759469,0.5739242963663748
RandomForest_Balanced,test_f1_optimized,0.6900000000000001,0.9705,0.5671641791044776,0.5588235294117647,0.562962962962963,0.7719065887224454,0.5477147239857386,1903,29,30,38,15290,0.9686396297649494,0.596446152247372
KNN,test_f1_optimized,0.33,0.9725,0.6382978723404256,0.4411764705882353,0.5217391304347826,0.7161886493727926,0.5172742393445279,1915,17,38,30,19170,0.8670837900377543,0.4984681692903272
LogisticRegression,test_f1_optimized,0.23,0.965,0.4838709677419355,0.4411764705882353,0.46153846153846156,0.7123066617951528,0.443995842726949,1900,32,38,30,19320,0.9003014249177932,0.41638644097437316
LinearSVM_Balanced,test_f1_optimized,0.12,0.942,0.30327868852459017,0.5441176470588235,0.3894736842105263,0.7500608939227864,0.37870939841654233,1847,85,31,37,16350,0.9028285227134332,0.397024835496915
LogisticRegression_Balanced,test_f1_optimized,0.77,0.9385,0.2900763358778626,0.5588235294117647,0.38190954773869346,0.755343441724516,0.37408683308640733,1839,93,30,38,15930,0.9036962611131409,0.3925866116687223
Dummy_All_Normal,test_f1_optimized,0.01,0.966,0.0,0.0,0.0,0.5,0.0,1932,0,68,0,34000,0.5,0.034
