model,best_cost_threshold,best_f1_threshold,best_mcc_threshold,fit_seconds
Dummy_All_Normal,0.01,0.01,0.01,0.004405975341796875
LogisticRegression,0.02,0.23,0.23,0.01404261589050293
LogisticRegression_Balanced,0.52,0.77,0.77,0.012866497039794922
KNN,0.09,0.33,0.38,0.01129150390625
LinearSVM_Balanced,0.03,0.12,0.12,0.023668289184570312
DecisionTree_Balanced,0.09,0.87,0.8,0.012463092803955078
RandomForest_Balanced,0.19,0.6900000000000001,0.6900000000000001,0.7256247997283936
XGBoost,0.02,0.36000000000000004,0.36000000000000004,0.2628142833709717
XGBoost_Weighted,0.31,0.9,0.9,0.16811656951904297
XGBoost_AsymmetricLoss,0.2,0.78,0.78,0.28316760063171387
LightGBM,0.02,0.42000000000000004,0.42000000000000004,0.18288612365722656
LightGBM_Weighted,0.14,0.88,0.88,0.18650269508361816
RandomForest_Balanced_Physics,0.25,0.66,0.66,0.7981374263763428
XGBoost_Physics,0.02,0.36000000000000004,0.36000000000000004,0.1509995460510254
XGBoost_Weighted_Physics,0.19,0.88,0.88,0.16199827194213867
XGBoost_AsymmetricLoss_Physics,0.13,0.81,0.81,0.324662446975708
LightGBM_Physics,0.03,0.36000000000000004,0.36000000000000004,0.1820363998413086
LightGBM_Weighted_Physics,0.09,0.8,0.8,0.16988205909729004
OOF_Stacking,0.24000000000000002,0.9600000000000001,0.9600000000000001,7.207335472106934
OOF_Stacking_AnomalyFeature,0.21000000000000002,0.97,0.97,7.214162588119507
OOF_Stacking_Physics,0.3,0.98,0.98,7.826634883880615
OOF_Stacking_Physics_AnomalyFeature,0.35000000000000003,0.98,0.98,7.552433013916016
